Title,Datetime,Article,Link
환상적인 조개집 “실제 건축물이라고? SF영화 같다”                                            ,2012.01.01,"  조개껍데기 모양의 건축물 사진이 누리꾼들을 놀라게 하고 있다.  조개껍데기 모양의 건축물 사진이 누리꾼들을 놀라게 하고 있다.  최근 한 온라인 게시판에 ‘환상적인 조개집’이라는 제목으로 여러 장의 사진이 올라왔다.  사진을 보면 형형색색 조개 모양으로 만들어진 실제집들이 신비감을 자아낸다. 멕시코시티에 위치한 ‘노틸러스 하우스’로, 멕시코 건축가 자비에르 세노시엔이 자연의 동식물에서 영감을 얻어 만들었다고 알려졌다.  조개집들은 제각각 하나의 대형 미술품과 다름없다.  달팽이를 형상화한 집이 있고, 껍질 내부에서부터 차례로 벽을 쌓아 나선형으로 자라나는 바다생물 앵무조개의 생김새를 본떠 만든 집도 있다.  내부 또한 그럴싸하다. 정원식으로 시작된 거실에서부터 주방, 침실, 화장실, 서재 등의 공간이 미로처럼 구성되어 있다.  누리꾼들은 “공상과학영화의 한 장면 같다” “저런 집에서 살면 없던 창의력도 생기겠다” “자연에서 온 소재인 만큼 주변 숲과 절묘하게 어울린다” 등 부럽다는 반응을 보였다.  사진= 멕시코 건축가 자비에르 세노시엔 홈페이지  [매경닷컴 MK스포츠 온라인뉴스팀]   [ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]                                   이 기사의 카테고리는 언론사의 분류를 따릅니다.                                          기사가 속한 카테고리는 언론사가 분류합니다.                                         언론사는 한 기사를 두 개 이상의 카테고리로 분류할 수 있습니다.                                       ",매일경제
영화에 '우주'를 담으면 뜬다?..SF 영화 '흥행불패'                                            ,2012.04.18,"   [OSEN=김경주 기자] 우주를 배경으로 했던 영화들이 모두 흥행에 성공하며 영화에 '우주'를 담으면 뜬다는 새로운 흥행 공식이 대두돼 눈길을 끌고 있다.   영화 '스타워즈', '아마겟돈', '스타트랙' 등 우주를 소재로 하는 SF 영화들의 공통점은 전 세계적으로 많은 팬을 확보하고 있다는 것. 특히 '스타워즈'는 개봉 당시 엄청난 신드롬을 일으키며 수많은 매니아층을 형성한바 있다.   이러한 인기에 힘입어 SF 영화들은 몇 십 년에 걸쳐 꾸준히 시리즈를 내놓고 있어 세월이 지나도 영화에 대한 여전한 인기를 입증했다.   최근에는 스크린 뿐만 아니라 브라운관에서도 SF 장르에 대한 관심이 뜨겁다. 미국의 인기 드라마 '배틀스타갤럭티카', '파이어플라이', '스타게이트' 역시 다양한 소재와 독특한 모션과 공간 등으로 눈을 사로잡았다.   오는 5월 개봉하는 SF 리얼 액션 영화 '락아웃:익스트림미션(이하 '락아웃')'이 이러한 SF 영화의 흥행불패 공식을 이어갈 수 있을지에 대한 관심도 뜨겁다.  '락아웃'은 전직 특수요원 스노우가 통제불능 상태의 우주감옥에 인질로 붙잡힌 대통령의 딸 에밀리를 구하기 위해 펼치는 극한의 미션을 그린 SF 리얼 액션 영화. 인류를 위협하는 흉악범들을 아예 지구 밖에 격리시키기 위해 세워진 우주감옥 'MS ONE'은 최고의 보안시스템을 갖춘 거대한 규모를 자랑한다.  광활한 우주 한복판에 떠 있는 것으로도 모자라 무려 446개의 인증을 거쳐야만 접근이 가능한 이 가상공간은 벌써부터 많은 이들의 호기심을 자극하고 있다.   또한 리얼 액션의 진수를 보여줬던 뤽 베송과 영화 '테이큰' 제작진의 야심찬 프로젝트라는 것만으로도 많은 관심을 받고 있어 SF 흥행 신화를 이어갈지 귀추가 주목된다.  trio88@osen.co.kr 화보로 보는 뉴스, 스마트폰으로 즐기는 ‘OSEN 포토뉴스’ ☞ 앱 다운 바로가기 [Copyright ⓒ 한국 최고의 스포츠 엔터테인먼트 전문 미디어 OSEN(www.osen.co.kr) 제보및 보도자료 osenstar@osen.co.kr 무단전재 및 재배포 금지]                                   이 기사의 카테고리는 언론사의 분류를 따릅니다.                                          기사가 속한 카테고리는 언론사가 분류합니다.                                         언론사는 한 기사를 두 개 이상의 카테고리로 분류할 수 있습니다.                                       ",OSEN
" [기획-2] SF영화같은 의료시뮬레이션 ""교육 효과는 현실적""                                            ",2012.04.09,"    서울의 A대학병원 분만실 앞. 한 산부인과 교수가 난처한 표정으로 서 있다. 이날 예정돼 있던 인턴들의 분만 참관이 급작스럽게 취소됐기 때문이다. 분만을 앞둔 산모 가족이 불과 1시간전에 수련의들의 참관을 돌연 거부한 것이다. 이처럼 환자들의 권리 의식이 강화되고 능숙한 의사를 요구하는 상황에서 수련의들의 임상술기 교육 기회는 줄어들고 있다. 수련의들도 안전환 환경에서 구체적인 반복 실습을 통해 전문성을 키우고 싶은 욕구가 이전보다 강해졌다.   이런 측면에서 2000년대 초반부터 본격화된 ‘시뮬레이션 기반의 의학교육’이 주목받고 있다. 특히 내부 장기와 인지 능력이 프로그램된 고기능 환자 마네킹이 등장하면서 수련의 교육에 일대 변화가 예고되고 있다. 이에 본지는 우리나라의 의료시뮬레이션 교육 현황과 시뮬레이션교육이 전공의 수련에 미칠 영향을 짚어보는 기획기사를 3회에 걸쳐 내보낼 예정이다.<편집자 주>        [글 싣는 순서]  1. 진짜같은 가짜 '환자 시뮬레이터' 의학교육을 바꾸다 2. SF영화같은 의료시뮬레이션 ""교육 효과는 현실적"" 3. 국내 의료시뮬레이션 교육 현장을 찾아서    미국, 유럽 등 해외 선진국에서는 전문의 수련 교육과정에 의료시뮬레이션 프로그램이 차지하는 비중이 점차 커지고 있다.     특히 타 진료과에 비해 마취통증의학과, 산부인과, 응급의학과 등은 의료시뮬레이션 교육을 발빠르게 도입해 왔다.       의료시뮬레이션 교육이 가장 활발한 미국에서는 응급의학 전문의 수련 프로그램에 시뮬레이션을 사용하는 비율이 2003년 29%에서 2008년 85%로 급증했다.     하버드의대 부속병원은 응급의학과 전공의 프로그램을 100% 시뮬레이션 기반 교육 형태로 개편한지 오래다.     피츠버그 의과대학의 의료시뮬레이션센터 ‘WISER'에서는 연간 200여명의 교수진이 약 100개의 전문의 수련 프로그램을 지도하고 있다.      ▲ 피츠버그대학 의료시뮬레이션센터 WISER가 개설한 교육프로그램.  피츠버그 의대생과 전공의들은 기도확보(Airway management)부터 소아전문소생술(PALS), 호흡기장애 치료(Respiratory Therapy)까지 센터 한 곳에서 다양한 시뮬레이션 교육을 받고 있다.      특히 고급과정 프로그램을 통해서는 일반 분만이나 제왕절개를 비롯해 어깨난산(Shoulder Dystocia), 분만강직증(eclampsia), 분만후출혈(post partum hemorrhage) 등 같은 산부인과 응급상황에 대응할 수 있는 술기를 시뮬레이터로 익힐 수 있다.     마취통증의학과도 시뮬레이션 기반의 전공의 교육이 활성화되고 있는 진료과다.    독일 TuPASS 대학은 ▲전신마취 중 심근허혈 발생 ▲전신마취 회복 중 어려운 기도관리 ▲전신마취 회복 중 발생한 호흡곤란의 환자를 진단하고 치료하는 과정 등의 전공의 시뮬레이션 교육을 오래 전부터 실시해 왔다.     연세의대 마취통증의학교실 장철호 교수는 “미국이나 유럽에서는 위험 상황에 대한 안정하고 효과적인 마취과 전공의 교육을 위해 체계적이고 표준화된 교육과정을 만들어 왔다”며 “우리나라에서도 (시뮬레이션 교육은) 마취과 전공의 수련에 있어서 필수적인 과정이 될 것”이라고 강조했다.     소아 심정지 및 외상 응급처치도 시뮬레이션 수련 프로그램이 개발이 왕성한 영역이다.    수련의들이 소아 소생술을 경험하는 사례가 적고, 응급의학과와 소아과 전공의들의 팀워크를 맞출 수 있는 기회가 부족하기 때문에 시뮬레이션 교육을 통한 학습이 더욱 요구된다.    한양의대 임태호 교수(한국의료시뮬레이션연구회장)는 “산과와 소아과 영역에서 고충실도 시뮬레이터를 활용한 수련 프로그램 개발이 가장 시급하다”며 “국내에서는 이들 영역에 있어 시뮬레이션 교육 경험치가 상당히 낮은 상황”이라고 지적했다. 서의규 기자 sunsu@rapportian.com  <저작권자(c)라포르시안. 무단전재-재배포금지.>    이 기사의 카테고리는 언론사의 분류를 따릅니다.                                          기사가 속한 카테고리는 언론사가 분류합니다.                                         언론사는 한 기사를 두 개 이상의 카테고리로 분류할 수 있습니다.                                       ",라포르시안
"[영상] 뉴에프오, '바운스' 뮤비 공개 ""SF영화 같아""                                            ",2011.11.24,"   5인조 신인 걸그룹 뉴에프오(New.F.O)의 첫 번째 디지털 싱글 타이틀곡 'Bounce(바운스)' 풀버전 뮤직비디오가 공개돼 화제를 모으고 있다.  지난 23일 뉴에프오는 동영상 사이트 유투브 공식 채널을 통해 타이틀곡 ‘바운스’의 풀버전 뮤직비디오를 공개해 눈길을 끌고 있다.  앞서 뉴에프오는 멤버 각자가 프로듀싱, 스타일링, 안무 디렉팅 등 다양한 특기 보유로 기존의 걸그룹과는 차별화 된 새로운 걸그룹의 등장으로 기대를 모으고 있다.  특히 이번 뮤직비디오는 보아의 ‘GAME’, 서인영 ‘너를 원해’, 걸스데이 ‘반짝반짝’ 등의 뮤직비디오를 제작하며 실력을 인정받은 가수 보아의 친 오빠 권순욱 감독의 작품으로 뮤직비디오 속에 등장하는 CG작업은 영화 ‘아이언맨2’의 VFX를 맡았던 UFO studio의 김원재, 문병용 감독이 맡았다.  뉴에프오는 이번 뮤직비디오를 통해 한편의 SF영화를 보는 듯한 화려한 CG효과와 걸그룹의 안무라고는 믿겨지지 않을 정도로 파워풀하고 카리스마 넘치는 최고의 퍼포먼스를 선보여 네티즌들의 탄성을 자아냈다.   한편 뉴에프오는 오는 25일 첫 번째 디지털 싱글 'Bounce(바운스)' 발매와 동시에 KBS 2TV '뮤직뱅크' 무대를 통해 화려한 퍼포먼스를 선보이며 데뷔 무대를 가질 예정이다.    /파이낸셜뉴스 스타엔 victory@starnnews.com김지이 기자  기사제보 및 보도자료 press@starnnews.com                    ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지    이 기사의 카테고리는 언론사의 분류를 따릅니다.                                          기사가 속한 카테고리는 언론사가 분류합니다.                                         언론사는 한 기사를 두 개 이상의 카테고리로 분류할 수 있습니다.                                       ",파이낸셜뉴스
"2층 열차, 하늘 나는 배 … SF영화서 현실 속으로                                            ",2011.09.29,"                                                                  ‘하늘을 나는 배’ ‘수륙 양용 버스’ ‘1인용 전기 스쿠터’ ‘2층 열차’…. 과거 공상영화 속에서나 볼 수 있었던 교통수단들을 조만간 실제 생활 속에서 즐길 수 있게 된다. 하늘을 나는 배인 위그선이 내년 초 포항~울릉도(217㎞), 울릉도~독도(87㎞) 구간에서 선보인다. 위그선은 기체가 수면 1~5m 위를 비행하는 항공선박. 바다 위 어느 곳에서나 활주·착륙이 가능하고 기존 선박보다 속도가 세 배 빠르다. 출렁거리지 않기 때문에 배멀미 걱정도 없다.  　위그선이 바다에서 여객 수송용으로 사용되는 것은 세계 처음이다. 경상북도는 포항에서 울릉도까지 배를 타면 4시간이 걸리지만 위그선으로는 1시간10분 만에 주파할 수 있다고 밝혔다. 2시간30분가량 걸렸던 울릉도에서 독도 왕복 관광도 50분이면 가능해진다. 내년부터는 군산 비응항~제주 애월항(320㎞) 사이에도 위그선이 오갈 예정이다.  　육지와 강을 동시에 오갈 수 있는 수륙 양용 버스도 이르면 내년 말 도입된다. 경기도는 수륙 양용 버스 3대를 이용해 가평 고속버스터미널과 가평역을 통과해 남이섬까지 운행하는 수륙 양용 버스 노선(5㎞)에 대한 용역을 지난 6월 마쳤다. 경기도 비전담당관실 관계자는 “국회에 계류 중인 ‘복합형 교통수단의 등록 및 운행 등에 관한 법률’ 등 관련 법과 제도가 정비되면 곧바로 수륙 양용 버스를 도입하겠다”며 “대중교통으로 접근하기 힘들었던 남이섬의 관광객이 늘어날 것”이라고 말했다.  　코레일은 경춘선(서울 상봉역~춘천역)에 2층 급행열차를 연말부터 운행한다. 현재 시운전 중이며 2층 객실에서 기존 열차와는 색다른 북한강변의 경치를 감상할 수 있다. 회사원 김상철(30)씨는 “엑스포에서나 볼 수 있었던 교통수단을 이용할 수 있다니 신기하다”며 “경춘선 2층 열차와 수륙 양용 버스로 남이섬에 가 볼 계획”이라고 했다.  　올해부터 서울 곳곳에서는 서서 타는 1인용 전기 스쿠터(폴T3)가 등장한다. 서울경찰청은 폴T3가 광화문광장, 김포공항 순찰에 사용될 것이라고 밝혔다.  　새로운 교통수단들은 대부분 지방자치단체에서 관광용으로 도입한 것들이다. 관광·레저 인구의 증가 추세에 맞춰 관광객 유치를 확대하려는 것이다. 하지만 이를 위해서는 꼼꼼히 따져 볼 일도 많다. 안전과 수익성이 충분히 고려돼야 하기 때문이다. 국토해양위원회 소속 전여옥(한나라당) 의원은 27일 국토해양부 국정감사에서 “위그선은 우리나라에서 처음 상용화되는 것”이라며 “위그선에 레이더가 설치돼 있지만 빠른 속도로 이동하다 갑자기 장애물이 나타나면 피하기 어려울 수 있다”고 지적했다. 경실련 경기도협의회 박완기 사무처장은 “새로운 교통수단을 도입하려면 예상 이용객 수, 관광 유발 효과 같은 타당성도 신중하게 따져 봐야 한다”고 말했다.   이상화 기자   ▶기자 블로그 http://blog.joinsmsn.com/center/v2010/power_reporter.asp  [ⓒ 중앙일보 & Jcube Interactive Inc., 무단 전재 및 재배포 금지]    이 기사의 카테고리는 언론사의 분류를 따릅니다.                                          기사가 속한 카테고리는 언론사가 분류합니다.                                         언론사는 한 기사를 두 개 이상의 카테고리로 분류할 수 있습니다.                                       ",중앙일보
"“이것이 바로 3D 프린터 작품”…오브젯 프린터, 최신 SF 액션영화에 사용                                            ",2011.11.16,"   [디지털데일리 백지영기자] 3D 프린팅 전문기업인 오브젯은 지난 10월에 개봉한 숀 레비 감독, 휴 잭맨 주연의 SF영화‘리얼 스틸’에 자사의 제품이 사용됐다고 16일 밝혔다. 이 영화는 2020년 인간이 아닌 로봇 파이터들이 사각의 링을 지배하게 되는 시대를 그린 미국 SF 영화다. 영화의 로봇 캐릭터 개발을 담당한 레거시 이펙트(Legacy Effects)사는 최대한 실감나는 로봇을 만들기 위해 오브젯 3D 프린터를 이용해 1/5 크기의 모델을 제작했다.  이렇게 만들어진 컨셉 모델은 손으로 직접 채색과 광택 처리 후, 최종 승인을 받아 실물 크기의 ‘아톰’, ‘노이지 보이’, ‘엠부시’ 등의 로봇으로 탄생했다.   또한 카메라로 실제 경기와 같은 생생한 싸움을 묘사하기 위해 실물 크기의 애니마트로닉(Animatronic) 로봇과 함께 모션 캡쳐 기술이 활용됐다는 설명이다. 레거시 이펙트의 제이슨 로페스 수석 시스템 엔지니어는 “3D 프린터로 고해상도 모델을 프린팅할 수 있었기 때문에 디자이너들은 컨셉 단계에서부터 최종 디자인, 이어 실물크기의 모델 제작까지 최단 기간에 진행할 수 있었다”고 말했다. <백지영 기자>jyp@ddaily.co.kr <저작권자ⓒ디지털데일리 무단전재-재배포금지>    이 기사의 카테고리는 언론사의 분류를 따릅니다.                                          기사가 속한 카테고리는 언론사가 분류합니다.                                         언론사는 한 기사를 두 개 이상의 카테고리로 분류할 수 있습니다.                                       ",디지털데일리
癌 수술하고 당일 일상복귀 SF영화가 현실로?                                            ,2011.11.24,"                                                                  [삼성경제硏, IT·나노·유전공학 융복합화된 첨단복합기기 출현 전망]   #1. 잠을 자거나 일상생활에서 헬스기기나 스마트폰이 생체신호를 감지하고 분석하고 생체 신호에 이상이 발생할 경우 주치의가 원격진료를 한다.   #2. 혈액에서 극미량의 암세포를 검출해 극(極)초기에 암을 진단한다. 진단-치료 복합기기를 사용해 초고해상도 영상으로 미세한 환부를 확인하고 진단과 동시에 치료를 한다.   ↑ 일상관리를 통해 질병예방  자료출처 :삼성경제연구소   ↑극(極)초기에 암을 진단하고 치료.  자료출처:삼성경제연구소  SF(공상과학) 영화에서나 나올 법한 모습이 현실화 될 것이라는 전망이 나왔다. 삼성경제연구소는 23일 '헬스케어 3.0 : 건강수명 시대의 도래'라는 제목의 보고서에서 IT(정보통신), 유전공학, 나노기술의 융복합화로 첨단복합기기가 출현할 것이라고 전망했다.   연구소는 유전공학과 나노기술이 융합되면서 기존 분석의 한계로 생각됐던 원자, 세포 단위까지 검출하는 체외진단기가가 등장할 것으로 내다봤다.   실제 올해 미국 메사추세츠종합병원은 10억개의 정상 세포 사이에 숨겨진 단 한 개의 암세포까지 식별하는 기술을 개발해 냈다.   연구소는 영상진단기기에 장착된 3차원 이미징, 영상융합 등 진단보조 소프트웨어가 질병의 종류와 진행을 자동으로 판단하게 될 것이라고 전망했다.   이에 따라 진단과 치료를 동시에 수행할 수 있는 새로운 개념의 복합의료기기도 나올 것으로 예상된다. 이런 기술은 어느 정도 현실화 된 상태다.   올해 필립스는 마취나 절개 없이 암을 치료하는 기기를 출시했다. 이 기기는 MRI(자기공명촬영장치)로 종양을 파악해 고강도 초음파로 종양을 제거하는 방식으로 시술을 할 수 있게 했다. 이 경우 수술을 받은 당일 일상복귀도 가능하다.   이 같은 의료기기가 출현하기 위해서는 의료기기의 디지털화가 필수요소다. 이에 따라 전자부품·소프트웨어 관리가 주요 사업영역으로 부상할 것으로 연구소는 전망하고 있다.   전통적인 가공·조립 기술에서 핵심 부품과 디지털 이미징 프로세스, 진단보조 소프트웨어 등 디지털 기술로 부가가치가 이동할 수 있다는 것. 실제 GE헬스케어가 2010년 이후 인수한 8개 기업 중 6개가 헬스케어 IT업체였다.   최근에는 디지털의료기기의 부품과 소프트웨어를 지속적으로 관리하고 업그레이드 하는 모델도 각광을 받고 있다. 소프트웨어를 업그레이드해 하드웨어(의료기기)성능을 향상시키는 것이 가능하기 때문이다.   이에 따라 헬스케어 전문기술 기업과 IT기업의 경쟁구도가 나타나게 될 수 있다는 것이 연구소의 전망이다. 브랜드력과 마케팅 역량을 갖춘 IT기업이 의료기기 시장에 신규 진입해 전통 의료기기 사업자와 경쟁하게 된다는 것.   IT기업 인텔이 가정용 헬스케어기기를 출시한 것이 대표적인 사례로 꼽힌다. 인텔은 지난 2008년 체중, 혈당, 혈압을 측정하면 개인별 맞춤 의료정보가 화면에 나타나고, 측정결과가 주치의에게 전송돼 원격진료가 가능한 의료기기를 선보인 바 있다.   한편 연구소는 기술융복합 패러다임에 맞는 인재 양성과 제도정비가 시급하다고 지적했다. 의료서비스와 제약, 의료기기 등의 융복합화된 학제적 역량을 갖춘 의료인력의 양성이 필요하다는 것.   또 기업들은 소프트웨어와 고해상도 디스플레이 등 디지털 기술을 기반으로 초정밀 영상 및 인공지능 정보처리가 융합된 차세대 영상의료기기나 진단-치료 복합의료기기를 선도해야 한다는 것이 연구소의 주장이다.   [나도 부자가 될 수 있을까? 긴급 추천 스마트정보!]    [관련 키워드] 의료기기|융복합|나노|유전공학|IT   김명룡기자 dragong@  <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>                                   이 기사의 카테고리는 언론사의 분류를 따릅니다.                                          기사가 속한 카테고리는 언론사가 분류합니다.                                         언론사는 한 기사를 두 개 이상의 카테고리로 분류할 수 있습니다.                                       ",머니투데이
SF영화서나 가능한 일이… 구글 ‘프로젝트 글라스’ 큰 반향                                            ,2012.04.18,"   착용한 안경을 통해 메시지를 보내고, 일정을 확인하고 위치기반 시스템을 통한 날씨 정보, 위치정보, 네비게이션 등 다양한 정보를 받아 볼 수 있다. 마치 SF영화에서나 가능한 일이 현실로 다가섰다.  지난 5일(국내시간) 구글이 개발 중인 스마트 안경 시제품 일명 '프로젝트 글라스'의 시착용 영상이 공개되자 전 세계는 ""놀랍다""는 반응을 쏟아내고 있다.  이날 구글 측은 구글플러스의 '프로젝트 글라스' 페이지에 이 안경을 소개하는 동영상을 올려 그간 구글이 현실과 온라인 세계를 이어줄 새로운 개념의 안경을 만들고 있다는 소문이 사실임을 밝혔다.  지난해 뉴욕타임즈에 의해 밝혀진 구글의 비밀 프로젝트 팀 구글X에서 업로드한 동영상에 따르면 이 안경은 인터넷 연결이 가능해 일기예보나 친구들의 메시지를 스마트폰을 이용하지 않고 안경을 통해 바로 볼 수 있다.  또 친구가 보낸 문자가 눈앞에 나타나면 음성으로 마이크에 대답을 해, 문자로 답장할 수 있다. 전철역에 가면 '운행이 지연된다'는 메시지가 자동으로 뜨고 목적지에 걸어서 갈 수 있도록 길 안내가 표시된다.  아울러 초소형 카메라와 디스플레이가 함께 탑재돼 목적지까지의 경로를 안경에 띄워 주기도, 내가 보고 있는 풍경을 친구와 실시간 공유도 가능하다.  이번에 구글이 공개한 프로젝트 글라스는 간단한 디자인이 특징이다. 오른쪽 눈에 있는 반투명 비디오 스크린이 화면 역할을 한다. 또 날씨, 위치정보, 일정관리를 비롯해 모두 14가지 기능을 제공한다.  정확한 위치를 알려주는 GPS 기능이 포함돼 있어 사용자 위치에 따라 '맞춤 정보'를 제공한다.  이 특수 안경을 개발한 구글 프로젝트팀인 '구글X(Google X)'는 게시물에서 ""기술은 당신이 필요할 때 그곳에 있어야 하며 필요하지 않을 땐 잠시 비켜 있어야 한다""면서 ""이런 기술을 실현하기 위해 프로젝트 글라스가 시작됐다""고 밝혔다. 또 ""이 기술을 통해 당신이 할 수 있는 것들을 보여주고자 이 동영상을 제작했다""고 덧붙였다.  그러나 구글 측은 ""네티즌들로부터 소중한 조언을 얻기 위해 정보를 일부 공개한 것""이라면서 시장에 출시될 안경은 이날 공개된 것과는 다를 것이라고 강조했다.  구글이 공개한 안경은 아직 개발 중인 시제품이기 때문에 구체적인 제원은 모두 철저히 비밀에 부쳐져 있다. 구글은 현재 10여종의 시제품을 만들어 연구를 하고 있는 것으로 전해졌다.  한편 시력이 나쁜 사람의 경우 기존 안경 위에 덧붙여 착용할 수 있어 안경 착용자를 위한 시제품도 있는 것으로 알려졌다.  구글X의 프로젝트 글라스의 동영사는 구글플러스뿐만 아니라 유튜브 등 다양한 동영상 스트리밍 사이트에서 쉽게 찾아볼 수 있다.  /paperstory@fneyefocus.com fn아이포커스 문성인기자   ※ 저작권자 파이낸셜뉴스 ⓒfn아이포커스. 무단 전재-재배포금지                                   이 기사의 카테고리는 언론사의 분류를 따릅니다.                                          기사가 속한 카테고리는 언론사가 분류합니다.                                         언론사는 한 기사를 두 개 이상의 카테고리로 분류할 수 있습니다.                                       ",파이낸셜뉴스
"태양 속 혜성 폭발 화제...네티즌 ""SF영화 보는 느낌""                                            ",2012.03.22,"                                                                  태양 속 혜성 폭발 장면이 공개돼 화제다.  최근 우주과학사이트 등이 미 항공우주국(NASA)의 태양관측위성 소호(SOHO)가 태양 속으로 날아 들어가던 혜성이 태양 바깥층 대기인 코로나에서 폭발하는 장면을 촬영한 영상을 공개했다.  동영상 사이트 ‘유투브’에 게재된 이 영상은 지난 10일 촬영된 것으로 추정되며 작은 혜성 하나가 태양을 향해 엄청난 속도로 날아가 코로나 한편에서 폭발하는 장면을 담고 있다.  이에 나사 과학자들은 “폭발한 것으로 보이지만 혜성과 코로나 대방출 사이 물리적 연관성이 아직 확인되지 않았다”고 설명했다.  영상을 접한 네티즌들은 “오오 SF영화 보는줄 알았네”, “우주의 신비”, “저걸 포착하는게 더 대단해” 등의 반응을 보였다.   /파이낸셜뉴스 스타엔 hofeel82@mdtoday.co.kr황호필 기자  기사제보 및 보도자료 press@starnnews.com                    ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지    이 기사의 카테고리는 언론사의 분류를 따릅니다.                                          기사가 속한 카테고리는 언론사가 분류합니다.                                         언론사는 한 기사를 두 개 이상의 카테고리로 분류할 수 있습니다.                                       ",파이낸셜뉴스
"하늘 나는 자동차·시속 32㎞ 달리는 인조다리… 美, SF영화속 첨단무기 개발 중                                            ",2011.12.17,"                                                                  한 번 이륙하면 5년간 하늘을 날 수 있는 항공기, 헬기처럼 수직 이륙했다가 제트기처럼 비행하는 전투기, 병사가 신으면 시속 32㎞로 달리는 인조 다리….  미 국방부 산하 방위고등연구계획국(DARPA)이 자체적으로 또는 민간 방위산업체 및 연구기관과 함께 개발 중인 미래의 첨단 무기들을 CNN방송이 15일 소개했다. CNN은 ""놀랍도록 혁신적인 이들 첨단 무기들이 앞으로 전쟁의 양상을 바꿀 것""으로 내다봤다. DARPA와 보잉사(社)가 함께 개발 중인 '태양 독수리'는 5년간 공중에 떠 있는 상태로 정보 수집 및 감시 임무를 수행하는 무인 항공기다. 날개 길이 120m로 태양 에너지를 이용해 지상 1만8000m 상공에서 인공위성처럼 떠다니며 작전을 수행한다. 2014년 첫 시험비행을 할 계획이다. 역시 보잉사와 공동 개발 중인 '디스크-로터'는 헬리콥터와 비행기의 강점을 결합한 항공기다. 헬리콥터처럼 프로펠러를 이용해 신속한 수직 이착륙이 가능하고 장거리 이동 시에는 프로펠러를 집어넣고 날개 밑에 달린 엔진을 이용해 비행기처럼 날아간다. 여기에 무기를 장착하면 기동력이 뛰어난 첨단 전투기로 변신할 수 있다.  매사추세츠공과대학(MIT)과 플로리다 인간기계인지연구소(IHMC)가 함께 개발 중인 인조 다리 '패스트 러너'는 내년 선보일 예정이다. 병사가 이 장비에 올라타면 올림픽 400m 스프린터가 달리는 속도인 시속 20마일(32㎞)로 달릴 수 있다. 세바스티언 코튼 IHMC 연구원은 ""지상에서 가장 빨리 달리는 두발 동물인 타조의 움직임에서 영감을 얻었기 때문에 '로봇 타조'라는 이름을 붙였다""고 말했다.  하늘을 나는 자동차도 전장을 누빌 전망이다. 평소엔 자동차로 달리다가 장애물이 나타나면 수직 이륙해 하늘을 날아간다. 록히드마틴사(社)와 카네기멜런대학 등 6곳이 개발에 참여했다. DARPA는 이 밖에 스스로 체형을 변화시켜 좁은 장소도 통과할 수 있는 유연한 재질의 로봇, 먼 거리에 있는 위험을 감지해 병사에게 알려주는 쌍안경 등을 연구하고 있다고 CNN은 전했다.   [이한수 기자]  - Copyrights ⓒ 조선일보 & chosun.com, 무단 전재 및 재배포 금지 -    이 기사의 카테고리는 언론사의 분류를 따릅니다.                                          기사가 속한 카테고리는 언론사가 분류합니다.                                         언론사는 한 기사를 두 개 이상의 카테고리로 분류할 수 있습니다.                                       ",조선일보
